distance,pond_airblast_orchard,pond_airblast_vineyard,pond_ground_high_f2m,pond_ground_high_vf2f,pond_ground_low_f2m,pond_ground_low_vf2f,pond_aerial_c2vc,pond_aerial_m2c,pond_aerial_f2m,pond_aerial_vf2f
123,0.0008064,8.72E-05,0.0016785,0.0039085,0.0012085,0.0020865,0.005513,0.00892,0.019165,0.067055
124,0.0008,8.63E-05,0.001667,0.003873,0.001201,0.002072,0.005476,0.008868,0.01905,0.0667
125,0.0007938,8.55E-05,0.001656,0.0038385,0.001194,0.0020575,0.0054395,0.008818,0.018945,0.06635
126,0.0007876,8.47E-05,0.001645,0.003804,0.001187,0.002043,0.005403,0.008768,0.01884,0.066
127,0.00078155,8.39E-05,0.001634,0.0037705,0.00118,0.0020295,0.0053675,0.0087195,0.018735,0.0657
128,0.0007755,8.31E-05,0.001623,0.003737,0.001173,0.002016,0.005332,0.008671,0.01863,0.0654
129,0.00076965,8.24E-05,0.001612,0.0037045,0.001166,0.0020025,0.0052975,0.0086245,0.018525,0.06505
130,0.0007638,8.16E-05,0.001601,0.003672,0.001159,0.001989,0.005263,0.008578,0.01842,0.0647
131,0.00075815,8.09E-05,0.0015905,0.0036405,0.001152,0.0019755,0.0052285,0.0085325,0.018325,0.0644
132,0.0007525,8.01E-05,0.00158,0.003609,0.001145,0.001962,0.005194,0.008487,0.01823,0.0641
133,0.00074695,7.94E-05,0.0015695,0.003578,0.0011385,0.0019495,0.0051605,0.008443,0.018135,0.0638
134,0.0007414,7.87E-05,0.001559,0.003547,0.001132,0.001937,0.005127,0.008399,0.01804,0.0635
135,0.00073605,7.80E-05,0.001549,0.003517,0.0011255,0.001924,0.0050945,0.008356,0.017945,0.0632
136,0.0007307,7.73E-05,0.001539,0.003487,0.001119,0.001911,0.005062,0.008313,0.01785,0.0629
137,0.00072545,7.66E-05,0.0015295,0.0034575,0.001113,0.001899,0.00503,0.008272,0.01776,0.0626
138,0.0007202,7.59E-05,0.00152,0.003428,0.001107,0.001887,0.004998,0.008231,0.01767,0.0623
139,0.00071515,7.53E-05,0.00151,0.0033995,0.0011005,0.001875,0.0049665,0.008191,0.01758,0.062
140,0.0007101,7.46E-05,0.0015,0.003371,0.001094,0.001863,0.004935,0.008151,0.01749,0.0617
