distance_ft,aerial_vf2f,aerial_f2m,aerial_m2c,aerial_c2vc,ground_low_vf,ground_low_fmc,ground_high_vf,ground_high_fmc,airblast_normal,airblast_dense,airblast_sparse,airblast_vineyard,airblast_orchard
708.6528,0.051371,0.014254,0.0065671,0.0038784,1.43E-03,8.69E-04,2.38E-03,1.15E-03,6.15E-05,6.61E-04,1.20E-04,5.21E-05,5.35E-04
715.2144,0.051126,0.014172,0.0065278,0.0038523,1.42E-03,8.61E-04,2.35E-03,1.14E-03,6.07E-05,6.55E-04,1.17E-04,5.14E-05,5.29E-04
721.776,0.050809,0.01409,0.0064888,0.0038271,1.40E-03,8.53E-04,2.32E-03,1.13E-03,6.00E-05,6.49E-04,1.14E-04,5.07E-05,5.23E-04
728.3376,0.050561,0.014007,0.0064498,0.0038031,1.39E-03,8.45E-04,2.28E-03,1.12E-03,5.93E-05,6.43E-04,1.12E-04,5.00E-05,5.18E-04
734.8992,0.050245,0.013926,0.0064111,0.0037796,1.38E-03,8.38E-04,2.25E-03,1.11E-03,5.85E-05,6.37E-04,1.09E-04,4.94E-05,5.12E-04
741.4608,0.049847,0.013846,0.006373,0.0037567,1.36E-03,8.30E-04,2.22E-03,1.09E-03,5.79E-05,6.31E-04,1.07E-04,4.87E-05,5.07E-04
748.0224,0.049548,0.01377,0.0063351,0.0037338,1.35E-03,8.23E-04,2.20E-03,1.08E-03,5.72E-05,6.26E-04,1.05E-04,4.81E-05,5.02E-04
754.584,0.049196,0.013697,0.0062981,0.0037107,1.33E-03,8.16E-04,2.17E-03,1.07E-03,5.65E-05,6.20E-04,1.03E-04,4.74E-05,4.97E-04
761.1456,0.048893,0.013628,0.006262,0.0036875,1.32E-03,8.09E-04,2.14E-03,1.06E-03,5.59E-05,6.15E-04,1.00E-04,4.68E-05,4.92E-04
767.7072,0.048642,0.013559,0.0062272,0.003665,1.31E-03,8.02E-04,2.11E-03,1.05E-03,5.52E-05,6.09E-04,9.83E-05,4.62E-05,4.87E-04
774.2688,0.048405,0.013491,0.0061932,0.0036431,1.30E-03,7.95E-04,2.08E-03,1.04E-03,5.46E-05,6.04E-04,9.63E-05,4.56E-05,4.82E-04
780.8304,0.048161,0.013423,0.00616,0.0036221,1.28E-03,7.88E-04,2.06E-03,1.03E-03,5.40E-05,5.99E-04,9.43E-05,4.51E-05,4.77E-04
787.392,0.047945,0.013354,0.0061276,0.0036025,1.27E-03,7.82E-04,2.03E-03,1.02E-03,5.34E-05,5.94E-04,9.24E-05,4.45E-05,4.73E-04
